"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 22","29,22","29,91","31,29","28,69","68,57M","-2,79%"
"Mai 22","30,06","27,07","32,58","26,32","2,00B","-0,73%"
"Abr 22","30,28","30,77","32,07","29,39","1,29B","-9,48%"
"Mar 22","33,45","35,26","35,29","29,50","1,78B","-1,62%"
"Fev 22","34,00","32,35","35,29","31,26","1,24B","5,10%"
"Jan 22","32,35","28,54","34,64","27,72","1,54B","13,71%"
"Dez 21","28,45","27,55","30,10","26,20","1,44B","-3,33%"
"Nov 21","29,43","27,71","29,82","25,72","1,66B","8,00%"
"Out 21","27,25","27,12","30,22","25,77","1,74B","0,07%"
"Set 21","27,23","27,32","27,89","23,79","1,58B","0,15%"
"Ago 21","27,19","25,67","28,71","24,34","1,84B","1,04%"
"Jul 21","26,91","29,74","29,88","25,86","1,21B","-8,56%"
"Jun 21","29,43","27,40","29,79","27,01","1,44B","9,53%"
"Mai 21","26,87","23,80","27,20","22,88","1,58B","13,76%"
"Abr 21","23,62","23,50","24,89","22,61","1,29B","-1,99%"
"Mar 21","24,10","22,80","24,23","20,48","2,07B","8,36%"
"Fev 21","22,24","27,26","30,92","21,40","2,32B","-16,67%"
"Jan 21","26,69","28,65","31,76","26,53","1,28B","-5,82%"
"Dez 20","28,34","25,40","28,52","25,29","1,13B","13,82%"
"Nov 20","24,90","19,51","26,67","19,27","1,68B","31,47%"
"Out 20","18,94","19,64","21,14","17,74","1,44B","-3,42%"
"Set 20","19,61","22,20","23,12","19,25","1,24B","-10,42%"
"Ago 20","21,89","22,54","23,88","21,25","1,16B","-1,40%"
"Jul 20","22,20","21,75","23,60","21,52","1,32B","3,02%"
"Jun 20","21,55","20,15","23,03","19,54","1,68B","5,95%"
"Mai 20","20,34","17,43","20,34","16,72","1,63B","12,69%"
"Abr 20","18,05","13,45","18,69","13,32","2,40B","29,02%"
"Mar 20","13,99","25,50","27,48","10,85","2,90B","-44,79%"
"Fev 20","25,34","28,52","30,89","24,62","1,10B","-10,93%"
"Jan 20","28,45","30,51","31,24","27,67","940,87M","-5,73%"
"Dez 19","30,18","29,00","30,92","28,34","854,19M","4,96%"
"Nov 19","28,75","29,98","30,60","27,54","1,12B","-3,45%"
"Out 19","29,78","27,05","29,85","25,43","987,36M","10,31%"
"Set 19","27,00","24,88","27,67","24,53","970,87M","8,04%"
"Ago 19","24,99","25,57","26,14","23,20","1,18B","-1,46%"
"Jul 19","25,36","27,07","27,94","25,24","817,83M","-4,85%"
"Jun 19","26,65","25,16","27,60","24,85","918,37M","7,28%"
"Mai 19","24,84","25,96","26,61","23,70","1,05B","-5,40%"
"Abr 19","26,26","27,49","28,62","24,73","1,43B","-3,32%"
"Mar 19","27,16","26,27","28,65","25,38","1,23B","3,70%"
"Fev 19","26,19","24,68","26,86","23,75","1,11B","5,79%"
"Jan 19","24,76","21,83","25,13","21,57","1,35B","12,79%"
"Dez 18","21,95","24,63","24,85","19,77","1,45B","-7,93%"
"Nov 18","23,84","25,89","26,40","22,30","1,61B","-7,45%"
"Out 18","25,76","19,82","26,81","19,40","2,15B","30,96%"
"Set 18","19,67","17,71","20,47","17,00","1,12B","9,50%"
"Ago 18","17,97","18,23","20,05","16,46","1,33B","-2,09%"
"Jul 18","18,35","15,81","18,70","15,72","1,11B","14,72%"
"Jun 18","15,99","18,20","18,38","13,18","1,69B","-9,43%"
"Mai 18","17,66","21,05","25,63","15,73","2,00B","-17,21%"
"Abr 18","21,33","19,83","21,38","18,67","1,06B","7,29%"
"Mar 18","19,88","19,87","21,01","19,05","972,65M","-0,23%"
"Fev 18","19,93","18,35","20,29","17,19","946,15M","8,93%"
"Jan 18","18,29","15,03","18,62","15,03","946,39M","22,36%"
"Dez 17","14,95","14,24","14,99","13,88","646,23M","4,68%"
"Nov 17","14,28","15,78","16,19","13,92","758,84M","-8,29%"
"Out 17","15,57","14,11","15,94","13,98","799,96M","9,61%"
"Set 17","14,21","12,86","14,82","12,83","866,36M","12,09%"
"Ago 17","12,68","12,35","13,03","11,99","885,98M","2,71%"
"Jul 17","12,34","11,40","12,40","10,90","680,09M","7,44%"
"Jun 17","11,49","12,22","12,39","10,76","852,53M","-4,55%"
"Mai 17","12,03","13,06","14,74","11,56","1,05B","-7,23%"
"Abr 17","12,97","13,50","14,08","12,58","658,31M","-3,59%"
"Mar 17","13,46","14,40","14,44","11,90","959,59M","-4,55%"
"Fev 17","14,10","14,17","15,07","13,25","676,67M","1,07%"
"Jan 17","13,95","13,59","15,26","13,56","651,40M","1,01%"
"Dez 16","13,81","14,86","15,18","13,01","785,06M","-7,06%"
"Nov 16","14,86","16,60","16,60","12,38","1,30B","-9,55%"
"Out 16","16,43","12,69","17,17","12,65","1,13B","30,36%"
"Set 16","12,60","12,04","13,27","11,85","1,01B","5,60%"
"Ago 16","11,93","11,08","12,29","10,31","1,13B","8,26%"
"Jul 16","11,02","8,80","11,38","8,31","1,11B","26,01%"
"Jun 16","8,75","7,51","9,05","7,30","1,18B","17,16%"
"Mai 16","7,47","9,52","9,75","7,47","1,18B","-21,41%"
"Abr 16","9,50","7,48","9,79","6,88","1,40B","22,51%"
"Mar 16","7,75","4,93","8,36","4,74","2,10B","62,45%"
"Fev 16","4,77","4,40","4,90","3,83","1,26B","6,20%"
"Jan 16","4,49","6,10","6,53","3,83","1,38B","-27,76%"
"Dez 15","6,22","7,12","7,59","6,05","909,42M","-12,65%"
"Nov 15","7,12","7,28","8,03","6,71","955,06M","-0,52%"
"Out 15","7,16","6,79","8,42","6,41","1,23B","6,49%"
"Set 15","6,72","8,13","8,55","5,98","1,14B","-21,22%"
"Ago 15","8,53","9,62","9,80","6,99","996,34M","-12,48%"
"Jul 15","9,75","11,89","11,93","8,83","979,46M","-17,39%"
"Jun 15","11,80","11,54","12,62","11,38","810,78M","3,08%"
"Mai 15","11,45","12,36","13,88","11,41","1,02B","-5,52%"
"Abr 15","12,12","9,22","12,80","9,17","1,51B","34,12%"
"Mar 15","9,04","8,77","9,25","7,58","1,08B","1,67%"
"Fev 15","8,89","7,86","10,01","7,55","1,16B","16,99%"
"Jan 15","7,60","9,28","9,71","7,47","1,38B","-18,36%"